index,type,value,combination
164,i32,strcmp,i32	strcmp	
165,i32,strcmp,i32	strcmp	
166,i32,strcmp,i32	strcmp	
167,i32,strcmp,i32	strcmp	
168,i32,strcmp,i32	strcmp	
169,i32,strcmp,i32	strcmp	
170,i32,strcmp,i32	strcmp	
171,i32,strcmp,i32	strcmp	
172,i32,strcmp,i32	strcmp	
173,i32,strcmp,i32	strcmp	
174,i32,strcmp,i32	strcmp	
175,i32,strcmp,i32	strcmp	
176,i32,strcmp,i32	strcmp	
177,i8*,xmlGetEncodingAlias,i8*	xml	Get	Encoding	Alias	
178,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	
179,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	
180,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	
181,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	
182,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	
183,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	
184,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	
185,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	
186,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	
187,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	
188,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	
189,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	
190,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	
191,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	
192,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	
193,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	
194,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	
195,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	
196,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	
197,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	
198,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	
199,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	
200,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	
