index,type,value,combination,label
4762,i8*,,i8*	null	,7
4763,i32,0,i32	constant	,1
4764,i8*,,i8*	null	,7
4765,_xmlNode*,,xml	Node*	null	,8
4766,i32,0,i32	constant	,1
4767,i8*,,i8*	null	,7
4768,i8*,,i8*	null	,7
4769,,external dso_local global void (_xmlNode*)*,	constant	,6
4770,void,(_xmlNode*)* null,void	constant	,33
4771,,external dso_local global i32,	constant	,6
4772,i32,0,i32	constant	,1
4773,i32,0,i32	constant	,1
4774,i8*,,i8*	null	,7
4775,_xmlNode*,,xml	Node*	null	,8
4776,i32,0,i32	constant	,1
4777,_xmlParserInput*,,xml	Parser	Input*	null	,17
4778,i32,65535,i32	constant	,1
4779,_xmlNode*,,xml	Node*	null	,8
4780,_xmlNs*,,xml	Ns*	null	,21
4781,_xmlNs*,,xml	Ns*	null	,21
4782,i8*,,i8*	null	,7
4783,i32,0,i32	constant	,1
4784,i32,0,i32	constant	,1
4785,i32,0,i32	constant	,1
4786,_xmlDtd*,,xml	Dtd*	null	,40
4787,_xmlDoc*,,xml	Doc*	null	,2
4788,_xmlNode*,,xml	Node*	null	,8
4789,i32,1,i32	constant	,1
4790,i32,0,i32	constant	,1
4791,i32,4,i32	constant	,1
4792,i32,0,i32	constant	,1
4793,_xmlNs*,,xml	Ns*	null	,21
4794,i8*,,i8*	null	,7
4795,i32,0,i32	constant	,1
4796,_xmlNs*,,xml	Ns*	null	,21
4797,_xmlNs*,,xml	Ns*	null	,21
4798,_xmlNs*,,xml	Ns*	null	,21
4799,i8*,,i8*	null	,7
4800,i32,0,i32	constant	,1
4801,i32,0,i32	constant	,1
4802,i8*,,i8*	null	,7
4803,i8*,,i8*	null	,7
4804,i32,0,i32	constant	,1
4805,i8*,,i8*	null	,7
4806,i8*,,i8*	null	,7
4807,i32,-1412623820,i32	constant	,1
4808,i32,0,i32	constant	,1
4809,i32,0,i32	constant	,1
4810,i32,0,i32	constant	,1
4811,i8*,,i8*	null	,7
4812,_xmlNode*,,xml	Node*	null	,8
4813,i32,0,i32	constant	,1
4814,i32,0,i32	constant	,1
4815,i32,0,i32	constant	,1
4816,_xmlDtd*,,xml	Dtd*	null	,40
4817,_xmlDoc*,,xml	Doc*	null	,2
4818,i8*,,i8*	null	,7
4819,i32,35,i32	constant	,1
4820,_xmlNode*,,xml	Node*	null	,8
4821,i8*,,i8*	null	,7
4822,_xmlNode*,,xml	Node*	null	,8
4823,_xmlNode*,,xml	Node*	null	,8
4824,_xmlNode*,,xml	Node*	null	,8
4825,_xmlNode*,,xml	Node*	null	,8
4826,i32,3,i32	constant	,1
4827,i8*,"getelementptr inbounds ([0 x i8], [0 x i8]* @xmlStringText, i64 0, i64 0)",i8*	constant	,13
4828,i32,0,i32	constant	,1
4829,i32,0,i32	constant	,1
4830,i32,1,i32	constant	,1
4831,i32,0,i32	constant	,1
4832,i8*,,i8*	null	,7
4833,i64,10000000,i64	constant	,12
4834,i32,524288,i32	constant	,1
4835,i32,0,i32	constant	,1
4836,_xmlParserInput*,,xml	Parser	Input*	null	,17
4837,i8*,,i8*	null	,7
4838,i64,-1,i64	constant	,12
4839,i64,9223372036854775807,i64	constant	,12
4840,i8*,,i8*	null	,7
4841,i32,0,i32	constant	,1
4842,i32,0,i32	constant	,1
4843,_xmlNode*,,xml	Node*	null	,8
4844,_xmlNode*,,xml	Node*	null	,8
4845,_xmlNode*,,xml	Node*	null	,8
4846,_xmlParserInput*,,xml	Parser	Input*	null	,17
4847,i8*,,i8*	null	,7
4848,_xmlParserInput*,,xml	Parser	Input*	null	,17
4849,i8*,,i8*	null	,7
4850,_xmlDoc*,,xml	Doc*	null	,2
4851,i8*,,i8*	null	,7
4852,i32,1,i32	constant	,1
4853,_xmlDoc*,,xml	Doc*	null	,2
4854,_xmlParserCtxt*,,xml	Parser	Ctxt*	null	,32
4855,_xmlDtd*,,xml	Dtd*	null	,40
4856,_xmlDoc*,,xml	Doc*	null	,2
4857,_xmlParserCtxt*,,xml	Parser	Ctxt*	null	,32
4858,_xmlDtd*,,xml	Dtd*	null	,40
4859,i8*,,i8*	null	,7
4860,_xmlDoc*,,xml	Doc*	null	,2
4861,_xmlDtd*,,xml	Dtd*	null	,40
4862,i32,0,i32	constant	,1
4863,_xmlDtd*,,xml	Dtd*	null	,40
4864,i8*,,i8*	null	,7
4865,i8*,,i8*	null	,7
4866,i8*,,i8*	null	,7
4867,i32,0,i32	constant	,1
4868,i32,0,i32	constant	,1
4869,_xmlDoc*,,xml	Doc*	null	,2
4870,i32,0,i32	constant	,1
4871,_xmlParserInput*,"(i8*, i8*, i8*)* null",xml	Parser	Input*	i	i	i	null	,-1
4872,_xmlSAXHandler*,,xml	S	A	X	Handler*	null	,42
4873,_xmlParserInput*,,xml	Parser	Input*	null	,17
4874,_xmlParserInput**,,xml	Parser	Input**	null	,-1
4875,i32,4,i32	constant	,1
4876,i8*,,i8*	null	,7
4877,i32,1,i32	constant	,1
4878,i8*,,i8*	null	,7
4879,_xmlDict*,,xml	Dict*	null	,35
4880,i32,0,i32	constant	,1
4881,i8*,,i8*	null	,7
4882,_xmlParserInput*,,xml	Parser	Input*	null	,17
4883,i8*,,i8*	null	,7
4884,i8*,,i8*	null	,7
4885,i8*,,i8*	null	,7
4886,i32,0,i32	constant	,1
4887,_xmlEntity*,,xml	Entity*	null	,39
4888,i32,1,i32	constant	,1
4889,_xmlDoc*,,xml	Doc*	null	,2
4890,i32,2,i32	constant	,1
4891,_xmlEntity*,,xml	Entity*	null	,39
4892,_xmlEntity*,,xml	Entity*	null	,39
4893,_xmlEntity*,,xml	Entity*	null	,39
4894,i32,0,i32	constant	,1
4895,i32,0,i32	constant	,1
4896,_xmlNode*,,xml	Node*	null	,8
4897,i32,2,i32	constant	,1
4898,i32,0,i32	constant	,1
4899,i32,0,i32	constant	,1
4900,i8*,,i8*	null	,7
4901,i8*,,i8*	null	,7
4902,_xmlParserCtxt*,,xml	Parser	Ctxt*	null	,32
4903,i8*,,i8*	null	,7
4904,i32,-554844497,i32	constant	,1
4905,_xmlSAXHandler*,,xml	S	A	X	Handler*	null	,42
4906,i8*,,i8*	null	,7
4907,i32,1,i32	constant	,1
4908,i32,0,i32	constant	,1
4909,_xmlEntity*,,xml	Entity*	null	,39
4910,i8*,,i8*	null	,7
4911,i8*,,i8*	null	,7
4912,_xmlEntity*,,xml	Entity*	null	,39
4913,_xmlParserInput*,,xml	Parser	Input*	null	,17
4914,i8*,,i8*	null	,7
4915,i32,2,i32	constant	,1
4916,i32,0,i32	constant	,1
4917,_xmlEntity*,,xml	Entity*	null	,39
4918,void,"(i8*, i8*, ...)* null",void	constant	,33
4919,_xmlSAXHandler*,,xml	S	A	X	Handler*	null	,42
4920,i8*,,i8*	null	,7
4921,i8*,,i8*	null	,7
4922,_xmlEntity*,,xml	Entity*	null	,39
4923,_xmlParserInput*,,xml	Parser	Input*	null	,17
4924,i8*,,i8*	null	,7
4925,_xmlDoc*,,xml	Doc*	null	,2
4926,_xmlParserCtxt*,,xml	Parser	Ctxt*	null	,32
4927,i32,0,i32	constant	,1
4928,i32,2,i32	constant	,1
4929,i32,1,i32	constant	,1
4930,i32,2,i32	constant	,1
4931,i32,0,i32	constant	,1
4932,i32,0,i32	constant	,1
4933,i32,0,i32	constant	,1
4934,_xmlAttribute*,,xml	Attribute*	null	,67
4935,_xmlDtd*,,xml	Dtd*	null	,40
4936,i8*,,i8*	null	,7
4937,i8*,,i8*	null	,7
4938,_xmlDoc*,,xml	Doc*	null	,2
4939,_xmlParserCtxt*,,xml	Parser	Ctxt*	null	,32
4940,i32,1,i32	constant	,1
4941,i32,2,i32	constant	,1
4942,_xmlElement*,,xml	Element*	null	,66
4943,i32,0,i32	constant	,1
4944,i32,0,i32	constant	,1
4945,_xmlDtd*,,xml	Dtd*	null	,40
4946,_xmlDoc*,,xml	Doc*	null	,2
4947,_xmlDoc*,,xml	Doc*	null	,2
4948,_xmlParserCtxt*,,xml	Parser	Ctxt*	null	,32
4949,i8*,,i8*	null	,7
4950,i8*,,i8*	null	,7
4951,i32,1,i32	constant	,1
4952,i32,2,i32	constant	,1
4953,_xmlNotation*,,xml	Notation*	null	,-1
4954,i32,0,i32	constant	,1
4955,i32,0,i32	constant	,1
4956,_xmlDtd*,,xml	Dtd*	null	,40
4957,i8*,,i8*	null	,7
4958,i32,1,i32	constant	,1
4959,i32,0,i32	constant	,1
4960,_xmlEntity*,,xml	Entity*	null	,39
4961,void,"(i8*, i8*, ...)* null",void	constant	,33
4962,_xmlSAXHandler*,,xml	S	A	X	Handler*	null	,42
4963,i8*,,i8*	null	,7
4964,i8*,,i8*	null	,7
4965,_xmlEntity*,,xml	Entity*	null	,39
4966,_xmlParserInput*,,xml	Parser	Input*	null	,17
4967,i8*,,i8*	null	,7
4968,i32,2,i32	constant	,1
4969,i32,0,i32	constant	,1
4970,_xmlEntity*,,xml	Entity*	null	,39
4971,void,"(i8*, i8*, ...)* null",void	constant	,33
4972,_xmlSAXHandler*,,xml	S	A	X	Handler*	null	,42
4973,i8*,,i8*	null	,7
4974,i8*,,i8*	null	,7
4975,_xmlEntity*,,xml	Entity*	null	,39
4976,_xmlParserInput*,,xml	Parser	Input*	null	,17
4977,i8*,,i8*	null	,7
4978,i8*,,i8*	null	,7
4979,i32,0,i32	constant	,1
4980,_xmlDoc*,,xml	Doc*	null	,2
4981,_xmlDoc*,,xml	Doc*	null	,2
4982,_xmlSchematronParserCtxt*,,xml	Schematron	Parser	Ctxt*	null	,68
4983,i8*,,i8*	null	,7
4984,_xmlDoc*,,xml	Doc*	null	,2
4985,i8*,,i8*	null	,7
4986,_xmlDoc*,,xml	Doc*	null	,2
4987,_xmlDoc*,,xml	Doc*	null	,2
4988,_xmlNode*,,xml	Node*	null	,8
4989,i32,0,i32	constant	,1
4990,i32,0,i32	constant	,1
4991,i32,0,i32	constant	,1
4992,i32,0,i32	constant	,1
4993,_xmlNs*,,xml	Ns*	null	,21
4994,i32,1,i32	constant	,1
4995,_xmlNode*,,xml	Node*	null	,8
4996,_xmlSchematron*,,xml	Schematron*	null	,69
4997,i32,0,i32	constant	,1
4998,i32,0,i32	constant	,1
4999,_xmlNs*,,xml	Ns*	null	,21
5000,i32,1,i32	constant	,1
5001,_xmlNode*,,xml	Node*	null	,8
5002,i32,0,i32	constant	,1
5003,i32,0,i32	constant	,1
5004,i32,0,i32	constant	,1
5005,_xmlNs*,,xml	Ns*	null	,21
5006,i32,1,i32	constant	,1
5007,_xmlNode*,,xml	Node*	null	,8
5008,i8*,,i8*	null	,7
5009,i32,0,i32	constant	,1
5010,i32,0,i32	constant	,1
5011,_xmlNs*,,xml	Ns*	null	,21
5012,i32,1,i32	constant	,1
5013,_xmlNode*,,xml	Node*	null	,8
5014,i32,0,i32	constant	,1
5015,i32,0,i32	constant	,1
5016,i32,0,i32	constant	,1
5017,_xmlNs*,,xml	Ns*	null	,21
5018,i32,1,i32	constant	,1
5019,_xmlNode*,,xml	Node*	null	,8
5020,i32,0,i32	constant	,1
5021,i8*,,i8*	null	,7
5022,i32,0,i32	constant	,1
5023,i8*,,i8*	null	,7
5024,i8*,,i8*	null	,7
5025,i8*,,i8*	null	,7
5026,i8*,,i8*	null	,7
5027,i8*,,i8*	null	,7
5028,i32,0,i32	constant	,1
5029,i32,0,i32	constant	,1
5030,_xmlNs*,,xml	Ns*	null	,21
5031,i32,1,i32	constant	,1
5032,_xmlNode*,,xml	Node*	null	,8
5033,_xmlNode*,,xml	Node*	null	,8
5034,i32,0,i32	constant	,1
5035,i32,0,i32	constant	,1
5036,i32,0,i32	constant	,1
5037,_xmlNs*,,xml	Ns*	null	,21
5038,i32,1,i32	constant	,1
5039,_xmlNode*,,xml	Node*	null	,8
5040,i32,0,i32	constant	,1
5041,i32,0,i32	constant	,1
5042,_xmlNs*,,xml	Ns*	null	,21
5043,i32,1,i32	constant	,1
5044,_xmlNode*,,xml	Node*	null	,8
5045,i32,0,i32	constant	,1
5046,i32,0,i32	constant	,1
5047,i32,0,i32	constant	,1
5048,_xmlSchematron*,,xml	Schematron*	null	,69
5049,i32,0,i32	constant	,1
5050,i8*,,i8*	null	,7
5051,_xmlNode*,,xml	Node*	null	,8
5052,_xmlSchematronValidCtxt*,,xml	Schematron	Valid	Ctxt*	null	,70
5053,_xmlXPathObject*,,xml	X	Path	Object*	null	,0
5054,i32,1,i32	constant	,1
5055,i32,0,i32	constant	,1
5056,_xmlNodeSet*,,xml	Node	Set*	null	,3
5057,_xmlNode*,,xml	Node*	null	,8
5058,_xmlNode*,,xml	Node*	null	,8
5059,_xmlNode*,,xml	Node*	null	,8
5060,i32,3,i32	constant	,1
5061,i32,4,i32	constant	,1
5062,i32,0,i32	constant	,1
5063,i32,0,i32	constant	,1
5064,i32,0,i32	constant	,1
5065,_xmlNs*,,xml	Ns*	null	,21
5066,i32,1,i32	constant	,1
5067,_xmlNode*,,xml	Node*	null	,8
5068,i8*,,i8*	null	,7
5069,_xmlNode*,,xml	Node*	null	,8
5070,i8*,,i8*	null	,7
5071,_xmlNs*,,xml	Ns*	null	,21
5072,i8*,,i8*	null	,7
5073,i32,0,i32	constant	,1
5074,i32,9,i32	constant	,1
5075,i32,13,i32	constant	,1
5076,i32,10,i32	constant	,1
5077,i32,32,i32	constant	,1
5078,i32,10,i32	constant	,1
5079,i32,32,i32	constant	,1
5080,i32,9,i32	constant	,1
5081,i32,13,i32	constant	,1
5082,i32,0,i32	constant	,1
5083,_xmlSchematronTest*,,xml	Schematron	Test*	null	,71
5084,_xmlNode*,,xml	Node*	null	,8
5085,_xmlSchematronValidCtxt*,,xml	Schematron	Valid	Ctxt*	null	,70
5086,i32,1,i32	constant	,1
5087,i32,0,i32	constant	,1
5088,i32,4,i32	constant	,1
5089,i32,0,i32	constant	,1
5090,i32,2,i32	constant	,1
5091,i32,4,i32	constant	,1
5092,i32,0,i32	constant	,1
5093,i32,0,i32	constant	,1
5094,i32,0,i32	constant	,1
5095,i32,2,i32	constant	,1
5096,i32,0,i32	constant	,1
5097,i32,1,i32	constant	,1
5098,i8*,,i8*	null	,7
5099,_xmlNode*,,xml	Node*	null	,8
5100,i8*,,i8*	null	,7
5101,i32,1,i32	constant	,1
5102,i32,8,i32	constant	,1
5103,i32,0,i32	constant	,1
5104,_xmlSchematronValidCtxt*,,xml	Schematron	Valid	Ctxt*	null	,70
5105,void,"(i8*, _xmlError*)* null",void	constant	,33
5106,i32,1,i32	constant	,1
5107,_xmlSchematronPattern*,,xml	Schematron	Pattern*	null	,72
5108,i8*,,i8*	null	,7
5109,_xmlSchematronPattern*,,xml	Schematron	Pattern*	null	,72
5110,_xmlSchematronValidCtxt*,,xml	Schematron	Valid	Ctxt*	null	,70
5111,i32,8,i32	constant	,1
5112,i32,0,i32	constant	,1
5113,i32,1,i32	constant	,1
5114,i32,0,i32	constant	,1
5115,i32,4,i32	constant	,1
5116,i32,0,i32	constant	,1
5117,i8*,,i8*	null	,7
5118,_xmlSchematronValidCtxt*,,xml	Schematron	Valid	Ctxt*	null	,70
5119,_xmlSchematronValidCtxt*,,xml	Schematron	Valid	Ctxt*	null	,70
