index,type,value,combination,label
117,_xmlAttr*,xmlHasNsProp,xml	Attr*	xml	Has	Ns	Prop	,13
118,i8*,xmlLoadFileContent,i8*	xml	Load	File	Content	,-1
119,_xmlCatalog*,xmlCreateNewCatalog,xml	Catalog*	xml	Create	New	Catalog	,-1
120,i32,xmlParseSGMLCatalog,i32	xml	Parse	S	G	M	L	Catalog	,-1
121,_xmlParserCtxt*,xmlNewParserCtxt,xml	Parser	Ctxt*	xml	New	Parser	Ctxt	,28
122,_xmlParserInputBuffer*,xmlParserInputBufferCreateFilename,xml	Parser	Input	Buffer*	xml	Parser	Input	Buffer	Create	Filename	,-1
123,_xmlParserInput*,xmlNewInputStream,xml	Parser	Input*	xml	New	Input	Stream	,-1
124,i32,stat64,i32	stat	,29
125,i32,open64,i32	open	,7
126,i32,memcmp,i32	memcmp	,8
127,i32,memcmp,i32	memcmp	,8
128,i32,memcmp,i32	memcmp	,8
129,i32,xmlStrQEqual,i32	xml	Str	Q	Equal	,30
130,i32,xmlStrQEqual,i32	xml	Str	Q	Equal	,30
131,i32,xmlStrQEqual,i32	xml	Str	Q	Equal	,30
132,i32,xmlStrQEqual,i32	xml	Str	Q	Equal	,30
133,i8*,xmlDictAddQString,i8*	xml	Dict	Add	Q	String	,-1
134,_xmlRMutex*,xmlNewRMutex,xml	R	Mutex*	xml	New	R	Mutex	,-1
135,i32,__xmlInitializeDict,i32	xml	Initialize	Dict	,31
136,_xmlDict*,xmlDictCreate,xml	Dict*	xml	Dict	Create	,-1
137,i32,__xmlInitializeDict,i32	xml	Initialize	Dict	,31
138,i32,__xmlInitializeDict,i32	xml	Initialize	Dict	,31
139,i32,memcmp,i32	memcmp	,8
140,i32,memcmp,i32	memcmp	,8
141,i32,memcmp,i32	memcmp	,8
142,i32,memcmp,i32	memcmp	,8
143,i8*,xmlDictAddString,i8*	xml	Dict	Add	String	,-1
144,i32,xmlDictGrow,i32	xml	Dict	Grow	,-1
145,i32,memcmp,i32	memcmp	,8
146,i32,strcmp,i32	strcmp	,32
147,i32,strcmp,i32	strcmp	,32
148,i32,strcmp,i32	strcmp	,32
149,i8*,xmlGetEncodingAlias,i8*	xml	Get	Encoding	Alias	,33
150,i32,strcmp,i32	strcmp	,32
151,i32,strcmp,i32	strcmp	,32
152,i32,strcmp,i32	strcmp	,32
153,i32,strcmp,i32	strcmp	,32
154,i32,strcmp,i32	strcmp	,32
155,i32,strcmp,i32	strcmp	,32
156,i32,strcmp,i32	strcmp	,32
157,i32,strcmp,i32	strcmp	,32
158,i32,strcmp,i32	strcmp	,32
159,i32,strcmp,i32	strcmp	,32
160,i32,strcmp,i32	strcmp	,32
161,i32,strcmp,i32	strcmp	,32
162,i32,strcmp,i32	strcmp	,32
163,i32,strcmp,i32	strcmp	,32
164,i32,strcmp,i32	strcmp	,32
165,i32,strcmp,i32	strcmp	,32
166,i32,strcmp,i32	strcmp	,32
167,i32,strcmp,i32	strcmp	,32
168,i32,strcmp,i32	strcmp	,32
169,i32,strcmp,i32	strcmp	,32
170,i32,strcmp,i32	strcmp	,32
171,i32,strcmp,i32	strcmp	,32
172,i32,strcmp,i32	strcmp	,32
173,i32,strcmp,i32	strcmp	,32
174,i32,strcmp,i32	strcmp	,32
175,i32,strcmp,i32	strcmp	,32
176,i32,strcmp,i32	strcmp	,32
177,i8*,xmlGetEncodingAlias,i8*	xml	Get	Encoding	Alias	,33
178,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	,34
179,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	,34
180,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	,34
181,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	,34
182,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	,34
183,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	,34
184,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	,34
185,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	,34
186,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	,34
187,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	,34
188,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	,34
189,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	,34
190,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	,34
191,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	,34
192,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	,34
193,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	,34
194,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	,34
195,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	,34
196,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	,34
197,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	,34
198,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	,34
199,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	,34
200,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	,34
201,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	,34
202,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	,34
203,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	,34
204,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	,34
205,i8*,xmlGetEncodingAlias,i8*	xml	Get	Encoding	Alias	,33
206,i32,strcmp,i32	strcmp	,32
207,i8*,iconv_open,i8*	iconv	open	,35
208,i8*,iconv_open,i8*	iconv	open	,35
209,i8*,iconv_open,i8*	iconv	open	,35
210,i8*,iconv_open,i8*	iconv	open	,35
211,i8*,iconv_open,i8*	iconv	open	,35
212,i8*,iconv_open,i8*	iconv	open	,35
213,i32,xmlParseCharEncoding,i32	xml	Parse	Char	Encoding	,36
214,i32,strcmp,i32	strcmp	,32
215,i8*,xmlGetCharEncodingName,i8*	xml	Get	Char	Encoding	Name	,-1
