index,type,value,combination
495,i32,"htmlEncodeEntities(i8* out ,i32* outlen ,i8* in ,i32* inlen ,i32 quoteChar )",i32	html	Encode	Entities	i8*	out	i	outlen	i8*	in	i	inlen	i32	quote	Char	
496,i32,"htmlEncodeEntities(i8* out ,i32* outlen ,i8* in ,i32* inlen ,i32 quoteChar )",i32	html	Encode	Entities	i8*	out	i	outlen	i8*	in	i	inlen	i32	quote	Char	
497,i32,"htmlEncodeEntities(i8* out ,i32* outlen ,i8* in ,i32* inlen ,i32 quoteChar )",i32	html	Encode	Entities	i8*	out	i	outlen	i8*	in	i	inlen	i32	quote	Char	
498,i32,"htmlEncodeEntities(i8* out ,i32* outlen ,i8* in ,i32* inlen ,i32 quoteChar )",i32	html	Encode	Entities	i8*	out	i	outlen	i8*	in	i	inlen	i32	quote	Char	
499,i32,"htmlEncodeEntities(i8* out ,i32* outlen ,i8* in ,i32* inlen ,i32 quoteChar )",i32	html	Encode	Entities	i8*	out	i	outlen	i8*	in	i	inlen	i32	quote	Char	
500,i32,"htmlEncodeEntities(i8* out ,i32* outlen ,i8* in ,i32* inlen ,i32 quoteChar )",i32	html	Encode	Entities	i8*	out	i	outlen	i8*	in	i	inlen	i32	quote	Char	
501,i32,"htmlEncodeEntities(i8* out ,i32* outlen ,i8* in ,i32* inlen ,i32 quoteChar )",i32	html	Encode	Entities	i8*	out	i	outlen	i8*	in	i	inlen	i32	quote	Char	
502,_xmlDoc*,"htmlNewDocNoDtD(i8* URI ,i8* ExternalID )",xml	Doc*	html	New	Doc	No	Dt	D	i8*	U	R	I	i8*	External	I	D	
503,_xmlDoc*,"htmlNewDocNoDtD(i8* URI ,i8* ExternalID )",xml	Doc*	html	New	Doc	No	Dt	D	i8*	U	R	I	i8*	External	I	D	
504,_xmlDoc*,"htmlNewDoc(i8* URI ,i8* ExternalID )",xml	Doc*	html	New	Doc	i8*	U	R	I	i8*	External	I	D	
505,_xmlDoc*,"htmlNewDoc(i8* URI ,i8* ExternalID )",xml	Doc*	html	New	Doc	i8*	U	R	I	i8*	External	I	D	
506,_htmlEntityDesc*,"htmlParseEntityRef(_xmlParserCtxt* ctxt ,i8** str )",html	Entity	Desc*	html	Parse	Entity	Ref	xml	Parser	Ctxt*	ctxt	i	str	
507,_htmlEntityDesc*,"htmlParseEntityRef(_xmlParserCtxt* ctxt ,i8** str )",html	Entity	Desc*	html	Parse	Entity	Ref	xml	Parser	Ctxt*	ctxt	i	str	
