index,type,value,combination,label
111,i32,"xmlC14NCheckForRelativeNamespaces(_xmlC14NCtx* ctx ,_xmlNode* cur )",i32	xml	C14	N	Check	For	Relative	Namespaces	xml	C14	N	Ctx*	ctx	xml	Node*	cur	,26
112,i32,"xmlC14NProcessElementNode(_xmlC14NCtx* ctx ,_xmlNode* cur ,i32 visible )",i32	xml	C14	N	Process	Element	Node	xml	C14	N	Ctx*	ctx	xml	Node*	cur	i32	visible	,27
113,i32,"xmlC14NProcessElementNode(_xmlC14NCtx* ctx ,_xmlNode* cur ,i32 visible )",i32	xml	C14	N	Process	Element	Node	xml	C14	N	Ctx*	ctx	xml	Node*	cur	i32	visible	,27
114,i32,"xmlC14NProcessElementNode(_xmlC14NCtx* ctx ,_xmlNode* cur ,i32 visible )",i32	xml	C14	N	Process	Element	Node	xml	C14	N	Ctx*	ctx	xml	Node*	cur	i32	visible	,27
115,i32,"xmlC14NProcessElementNode(_xmlC14NCtx* ctx ,_xmlNode* cur ,i32 visible )",i32	xml	C14	N	Process	Element	Node	xml	C14	N	Ctx*	ctx	xml	Node*	cur	i32	visible	,27
116,i32,"xmlC14NProcessElementNode(_xmlC14NCtx* ctx ,_xmlNode* cur ,i32 visible )",i32	xml	C14	N	Process	Element	Node	xml	C14	N	Ctx*	ctx	xml	Node*	cur	i32	visible	,27
117,i32,"xmlC14NProcessElementNode(_xmlC14NCtx* ctx ,_xmlNode* cur ,i32 visible )",i32	xml	C14	N	Process	Element	Node	xml	C14	N	Ctx*	ctx	xml	Node*	cur	i32	visible	,27
118,i32,"xmlC14NProcessNode(_xmlC14NCtx* ctx ,_xmlNode* cur )",i32	xml	C14	N	Process	Node	xml	C14	N	Ctx*	ctx	xml	Node*	cur	,28
119,i32,"xmlC14NProcessNode(_xmlC14NCtx* ctx ,_xmlNode* cur )",i32	xml	C14	N	Process	Node	xml	C14	N	Ctx*	ctx	xml	Node*	cur	,28
120,i32,"xmlC14NProcessNodeList(_xmlC14NCtx* ctx ,_xmlNode* cur )",i32	xml	C14	N	Process	Node	List	xml	C14	N	Ctx*	ctx	xml	Node*	cur	,28
121,i32,"xmlC14NProcessNodeList(_xmlC14NCtx* ctx ,_xmlNode* cur )",i32	xml	C14	N	Process	Node	List	xml	C14	N	Ctx*	ctx	xml	Node*	cur	,28
122,void,xmlC14NFreeCtx(_xmlC14NCtx* ctx ),void	xml	C14	N	Free	Ctx	xml	C14	N	Ctx*	ctx	,-1
123,_xmlC14NCtx*,"xmlC14NNewCtx(_xmlDoc* doc ,i32 (i8*, _xmlNode*, %struct._xmlNode*)* is_visible_callback ,i8* user_data ,i32 mode ,i8** inclusive_ns_prefixes ,i32 with_comments ,_xmlOutputBuffer* buf )",xml	C14	N	Ctx*	xml	C14	N	New	Ctx	xml	Doc*	doc	i32	i8*	xml	Node*	struct	xml	Node*	is	visible	callback	i8*	user	data	i32	mode	i	inclusive	ns	prefixes	i32	with	comments	xml	Output	Buffer*	buf	,29
124,_xmlC14NCtx*,"xmlC14NNewCtx(_xmlDoc* doc ,i32 (i8*, _xmlNode*, %struct._xmlNode*)* is_visible_callback ,i8* user_data ,i32 mode ,i8** inclusive_ns_prefixes ,i32 with_comments ,_xmlOutputBuffer* buf )",xml	C14	N	Ctx*	xml	C14	N	New	Ctx	xml	Doc*	doc	i32	i8*	xml	Node*	struct	xml	Node*	is	visible	callback	i8*	user	data	i32	mode	i	inclusive	ns	prefixes	i32	with	comments	xml	Output	Buffer*	buf	,29
125,i32,"xmlC14NExecute(_xmlDoc* doc ,i32 (i8*, _xmlNode*, %struct._xmlNode*)* is_visible_callback ,i8* user_data ,i32 mode ,i8** inclusive_ns_prefixes ,i32 with_comments ,_xmlOutputBuffer* buf )",i32	xml	C14	N	Execute	xml	Doc*	doc	i32	i8*	xml	Node*	struct	xml	Node*	is	visible	callback	i8*	user	data	i32	mode	i	inclusive	ns	prefixes	i32	with	comments	xml	Output	Buffer*	buf	,30
126,i32,"xmlC14NExecute(_xmlDoc* doc ,i32 (i8*, _xmlNode*, %struct._xmlNode*)* is_visible_callback ,i8* user_data ,i32 mode ,i8** inclusive_ns_prefixes ,i32 with_comments ,_xmlOutputBuffer* buf )",i32	xml	C14	N	Execute	xml	Doc*	doc	i32	i8*	xml	Node*	struct	xml	Node*	is	visible	callback	i8*	user	data	i32	mode	i	inclusive	ns	prefixes	i32	with	comments	xml	Output	Buffer*	buf	,30
127,i32,"xmlC14NDocDumpMemory(_xmlDoc* doc ,_xmlNodeSet* nodes ,i32 mode ,i8** inclusive_ns_prefixes ,i32 with_comments ,i8** doc_txt_ptr )",i32	xml	C14	N	Doc	Dump	Memory	xml	Doc*	doc	xml	Node	Set*	nodes	i32	mode	i	inclusive	ns	prefixes	i32	with	comments	i	doc	txt	ptr	,31
128,i32,"xmlC14NDocDumpMemory(_xmlDoc* doc ,_xmlNodeSet* nodes ,i32 mode ,i8** inclusive_ns_prefixes ,i32 with_comments ,i8** doc_txt_ptr )",i32	xml	C14	N	Doc	Dump	Memory	xml	Doc*	doc	xml	Node	Set*	nodes	i32	mode	i	inclusive	ns	prefixes	i32	with	comments	i	doc	txt	ptr	,31
129,i32,"xmlC14NDocSave(_xmlDoc* doc ,_xmlNodeSet* nodes ,i32 mode ,i8** inclusive_ns_prefixes ,i32 with_comments ,i8* filename ,i32 compression )",i32	xml	C14	N	Doc	Save	xml	Doc*	doc	xml	Node	Set*	nodes	i32	mode	i	inclusive	ns	prefixes	i32	with	comments	i8*	filename	i32	compression	,-1
130,i8*,"xmlC11NNormalizeString(i8* input ,i32 mode )",i8*	xml	C11	N	Normalize	String	i8*	input	i32	mode	,32
131,i8*,"xmlC11NNormalizeString(i8* input ,i32 mode )",i8*	xml	C11	N	Normalize	String	i8*	input	i32	mode	,32
132,i8*,"xmlC11NNormalizeString(i8* input ,i32 mode )",i8*	xml	C11	N	Normalize	String	i8*	input	i32	mode	,32
133,i8*,"xmlC11NNormalizeString(i8* input ,i32 mode )",i8*	xml	C11	N	Normalize	String	i8*	input	i32	mode	,32
134,i8*,"xmlC11NNormalizeString(i8* input ,i32 mode )",i8*	xml	C11	N	Normalize	String	i8*	input	i32	mode	,32
135,i8*,"xmlC11NNormalizeString(i8* input ,i32 mode )",i8*	xml	C11	N	Normalize	String	i8*	input	i32	mode	,32
136,i8*,"xmlC11NNormalizeString(i8* input ,i32 mode )",i8*	xml	C11	N	Normalize	String	i8*	input	i32	mode	,32
137,i8*,"xmlC11NNormalizeString(i8* input ,i32 mode )",i8*	xml	C11	N	Normalize	String	i8*	input	i32	mode	,32
138,i8*,"xmlC11NNormalizeString(i8* input ,i32 mode )",i8*	xml	C11	N	Normalize	String	i8*	input	i32	mode	,32
139,i8*,"xmlC11NNormalizeString(i8* input ,i32 mode )",i8*	xml	C11	N	Normalize	String	i8*	input	i32	mode	,32
140,i8*,"xmlC11NNormalizeString(i8* input ,i32 mode )",i8*	xml	C11	N	Normalize	String	i8*	input	i32	mode	,32
141,i8*,"xmlC11NNormalizeString(i8* input ,i32 mode )",i8*	xml	C11	N	Normalize	String	i8*	input	i32	mode	,32
142,i8*,"xmlC11NNormalizeString(i8* input ,i32 mode )",i8*	xml	C11	N	Normalize	String	i8*	input	i32	mode	,32
143,void,"xmlC14NErr(_xmlC14NCtx* ctxt ,_xmlNode* node ,i32 error ,i8* msg )",void	xml	C14	N	Err	xml	C14	N	Ctx*	ctxt	xml	Node*	node	i32	error	i8*	msg	,-1
144,i32,"xmlC14NIsNodeInNodeset(_xmlNodeSet* nodes ,_xmlNode* node ,_xmlNode* parent )",i32	xml	C14	N	Is	Node	In	Nodeset	xml	Node	Set*	nodes	xml	Node*	node	xml	Node*	parent	,33
145,i32,"xmlC14NIsNodeInNodeset(_xmlNodeSet* nodes ,_xmlNode* node ,_xmlNode* parent )",i32	xml	C14	N	Is	Node	In	Nodeset	xml	Node	Set*	nodes	xml	Node*	node	xml	Node*	parent	,33
146,i32,"xmlC14NIsNodeInNodeset(_xmlNodeSet* nodes ,_xmlNode* node ,_xmlNode* parent )",i32	xml	C14	N	Is	Node	In	Nodeset	xml	Node	Set*	nodes	xml	Node*	node	xml	Node*	parent	,33
147,void,xmlC14NVisibleNsStackDestroy(_xmlC14NVisibleNsStack* cur ),void	xml	C14	N	Visible	Ns	Stack	Destroy	xml	C14	N	Visible	Ns	Stack*	cur	,-1
148,void,"xmlC14NVisibleNsStackAdd(_xmlC14NVisibleNsStack* cur ,_xmlNs* ns ,_xmlNode* node )",void	xml	C14	N	Visible	Ns	Stack	Add	xml	C14	N	Visible	Ns	Stack*	cur	xml	Ns*	ns	xml	Node*	node	,34
149,void,"xmlC14NVisibleNsStackSave(_xmlC14NVisibleNsStack* cur ,_xmlC14NVisibleNsStack* state )",void	xml	C14	N	Visible	Ns	Stack	Save	xml	C14	N	Visible	Ns	Stack*	cur	xml	C14	N	Visible	Ns	Stack*	state	,34
150,void,"xmlC14NVisibleNsStackSave(_xmlC14NVisibleNsStack* cur ,_xmlC14NVisibleNsStack* state )",void	xml	C14	N	Visible	Ns	Stack	Save	xml	C14	N	Visible	Ns	Stack*	cur	xml	C14	N	Visible	Ns	Stack*	state	,34
151,void,"xmlC14NVisibleNsStackRestore(_xmlC14NVisibleNsStack* cur ,_xmlC14NVisibleNsStack* state )",void	xml	C14	N	Visible	Ns	Stack	Restore	xml	C14	N	Visible	Ns	Stack*	cur	xml	C14	N	Visible	Ns	Stack*	state	,34
152,void,"xmlC14NVisibleNsStackRestore(_xmlC14NVisibleNsStack* cur ,_xmlC14NVisibleNsStack* state )",void	xml	C14	N	Visible	Ns	Stack	Restore	xml	C14	N	Visible	Ns	Stack*	cur	xml	C14	N	Visible	Ns	Stack*	state	,34
153,void,xmlC14NVisibleNsStackShift(_xmlC14NVisibleNsStack* cur ),void	xml	C14	N	Visible	Ns	Stack	Shift	xml	C14	N	Visible	Ns	Stack*	cur	,-1
154,i32,"xmlC14NStrEqual(i8* str1 ,i8* str2 )",i32	xml	C14	N	Str	Equal	i8*	str	i8*	str	,35
155,i32,"xmlC14NStrEqual(i8* str1 ,i8* str2 )",i32	xml	C14	N	Str	Equal	i8*	str	i8*	str	,35
156,i32,"xmlC14NStrEqual(i8* str1 ,i8* str2 )",i32	xml	C14	N	Str	Equal	i8*	str	i8*	str	,35
