file Name,line,comp relation,source1_from,Source1_type,Source1_info,source2_from,Source2_type,Source2_info,source3_from,Source3_type,Source3_info,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,381,!=,unkonwn,unprecessed,"  %10 = call i32 (i8*, %struct.stat*, ...) bitcast (i32 (...)* @stat to i32 (i8*, %struct.stat*, ...)*)(i8* %9, %struct.stat* %4), !dbg !420",global,i32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,386,!=,function,i8*,malloc,global,i8*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,395,<,function,i32,open,global,i32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,403,!=,unkonwn,unprecessed,"  %37 = sext i32 %36 to i64, !dbg !449",unkonwn,unprecessed,"  %38 = getelementptr inbounds %struct.stat, %struct.stat* %4, i32 0, i32 8, !dbg !451",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,425,!=,unkonwn,unprecessed,"  %17 = sext i8 %16 to i32, !dbg !384",global,i32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,428,!=,unkonwn,unprecessed,"  %22 = sext i8 %21 to i32, !dbg !389",unkonwn,unprecessed,"  %17 = sext i8 %16 to i32, !dbg !384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,429,!=,unkonwn,unprecessed,"  %33 = zext i16 %32 to i32, !dbg !396",global,i32,256,global,i32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,432,!=,unkonwn,unprecessed,"  %46 = zext i16 %45 to i32, !dbg !404",global,i32,256,global,i32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,436,!=,unkonwn,unprecessed,"  %22 = sext i8 %21 to i32, !dbg !389",unkonwn,unprecessed,"  %17 = sext i8 %16 to i32, !dbg !384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,442+,=,unkonwn,unprecessed,"  %22 = sext i8 %21 to i32, !dbg !389",global,i32,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,442,=,unkonwn,unprecessed,"  %22 = sext i8 %21 to i32, !dbg !389",global,i32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,467,!=,unkonwn,unprecessed,"  %4 = getelementptr inbounds %struct.t_transition, %struct.t_transition* %3, i32 0, i32 3, !dbg !367",global,t_transition*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,470,!=,unkonwn,unprecessed,"  %17 = getelementptr inbounds %struct.t_transition, %struct.t_transition* %16, i32 0, i32 2, !dbg !377",global,t_transition*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,472,!=,unkonwn,unprecessed,"  %30 = getelementptr inbounds %struct.t_transition, %struct.t_transition* %29, i32 0, i32 5, !dbg !387",global,t_state*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,475,!=,unkonwn,unprecessed,"  %44 = getelementptr inbounds %struct.t_transition, %struct.t_transition* %43, i32 0, i32 1, !dbg !397",global,t_transition*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,478,!=,unkonwn,unprecessed,"  %57 = getelementptr inbounds %struct.t_transition, %struct.t_transition* %56, i32 0, i32 0, !dbg !407",global,t_transition*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,480,!=,unkonwn,unprecessed,"  %70 = getelementptr inbounds %struct.t_transition, %struct.t_transition* %69, i32 0, i32 4, !dbg !417",global,t_state*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,496,!=,argument,void,"link_transition(t_transition* t ,t_state* from ,t_state* to )",global,t_state*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,499,!=,argument,void,"link_transition(t_transition* t ,t_state* from ,t_state* to )",global,t_state*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,504,!=,argument,void,"link_transition(t_transition* t ,t_state* from ,t_state* to )",global,t_state*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
